date,Donald Trump,Putin,MeToo,Bitcoin,ISIS,country
2019-09-17,8,1,0,5,1,Canada
2019-09-18,7,1,0,10,2,United Kingdom
2019-09-18,5,0,0,3,1,United States
2019-09-18,9,0,0,5,1,Canada
2019-09-18,13,3,1,16,3,Norway
2019-09-18,7,3,0,28,1,Germany
2019-09-19,7,1,0,12,2,United Kingdom
2019-09-19,17,3,0,13,1,Norway
2019-09-19,10,1,0,5,1,Canada
2019-09-19,5,3,0,32,3,Germany
2019-09-19,5,0,0,3,1,United States
2019-09-20,9,1,0,5,0,Canada
2019-09-20,4,0,0,3,1,United States
2019-09-20,21,10,0,20,0,Norway
2019-09-20,7,1,0,10,3,United Kingdom
2019-09-20,4,3,0,28,2,Germany
2019-09-21,4,0,0,3,1,United States
2019-09-21,5,4,0,25,2,Germany
2019-09-21,7,1,1,9,3,United Kingdom
2019-09-21,13,0,2,15,4,Norway
2019-09-21,9,0,0,4,1,Canada
2019-09-22,9,0,0,5,1,Canada
2019-09-22,7,2,2,16,3,Norway
2019-09-22,8,1,1,8,3,United Kingdom
2019-09-22,4,0,0,3,0,United States
2019-09-22,5,3,0,25,2,Germany
2019-09-23,5,0,0,3,1,United States
2019-09-23,6,3,0,32,2,Germany
2019-09-23,8,1,1,12,3,United Kingdom
2019-09-23,10,1,0,6,1,Canada
2019-09-23,8,4,3,17,4,Norway
2019-09-24,14,4,0,38,2,Germany
2019-09-24,15,0,0,7,0,Canada
2019-09-24,16,1,0,16,2,United Kingdom
2019-09-24,9,0,0,5,0,United States
2019-09-24,42,4,1,13,3,Norway
2019-09-25,27,6,3,22,6,Norway
2019-09-25,12,0,0,6,1,United States
2019-09-25,15,2,0,49,3,Germany
2019-09-25,19,1,0,17,2,United Kingdom
2019-09-25,21,1,0,8,0,Canada
2019-09-26,19,1,0,8,1,Canada
2019-09-26,35,1,1,7,1,Norway
2019-09-26,14,1,0,15,2,United Kingdom
2019-09-26,11,0,0,6,1,United States
2019-09-26,12,3,0,44,1,Germany
2019-09-27,9,0,0,5,1,United States
2019-09-27,13,1,0,12,2,United Kingdom
2019-09-27,25,3,0,12,3,Norway
2019-09-27,10,3,0,44,2,Germany
2019-09-27,16,1,0,7,1,Canada
2019-09-28,8,1,0,4,0,United States
2019-09-28,38,7,0,14,3,Norway
2019-09-28,14,0,0,5,1,Canada
2019-09-28,9,2,0,33,2,Germany
2019-09-28,12,1,0,9,2,United Kingdom
2019-09-29,14,0,0,5,1,Canada
2019-09-29,7,0,0,3,1,United States
2019-09-29,10,1,0,10,3,United Kingdom
